65.295 21
65.305 21
65.315 26
65.325 38
65.335 43
65.345 54
65.355 48
65.365 66
65.375 56
65.385 58
65.395 60
65.405 70
65.415 56
65.425 57
65.435 54
65.445 42
65.455 27
65.465 31
65.475 26
65.485 29
65.495 22
65.505 34
65.515 30
65.525 39
65.535 43
65.545 58
65.555 62
65.565 78
65.575 79
65.585 74
65.595 109
65.605 84
65.615 115
65.625 75
65.635 106
65.645 80
65.655 73
65.665 53
65.675 62
65.685 66
65.695 40
65.705 37
65.715 56
65.725 45
65.735 74
65.745 64
65.755 99
65.765 97
65.775 135
65.785 159
65.795 179
65.805 183
65.815 210
65.825 207
65.835 220
65.845 275
65.855 227
65.865 233
65.875 226
65.885 213
65.895 190
65.905 131
65.915 141
65.925 113
65.935 101
65.945 128
65.955 147
65.965 186
65.975 274
65.985 318
65.995 454
66.005 594
66.015 707
66.025 892
66.035 1113
66.045 1405
66.055 1493
66.065 1692
66.075 1946
66.085 2119
66.095 2282
66.105 2430
66.115 2561
66.125 2579
66.135 2691
66.145 2655
66.155 2693
66.165 2595
66.175 2564
66.185 2356
66.195 2315
66.205 2123
66.215 2058
66.225 1846
66.235 1642
66.245 1410
66.255 1237
66.265 1091
66.275 889
66.285 744
66.295 615
66.305 470
66.315 393
66.325 346
66.335 264
66.345 170
66.355 153
66.365 122
66.375 107
66.385 101
66.395 76
66.405 72
66.415 83
66.425 78
66.435 55
66.445 59
66.455 68
66.465 70
66.475 50
66.485 65
66.495 58
66.505 41
66.515 22
66.525 25
66.535 26
66.545 26
66.555 31
66.565 29
66.575 22
66.585 34
66.595 26
66.605 26
66.615 42
66.625 27
66.635 29
66.645 22
66.655 30
66.665 28
66.675 28
66.685 25
66.695 19
66.705 16
66.715 20
66.725 23
66.735 21
66.745 20
66.755 18
66.765 9
66.775 17
66.785 17
66.795 24
66.805 15
66.815 21
66.825 15
66.835 19
66.845 15
66.855 14
66.865 15
66.875 18
66.885 20
66.895 24
66.905 20
66.915 17
66.925 19
66.935 14
66.945 19
66.955 20
66.965 9
66.975 14
66.985 18
66.995 19
67.005 8
67.015 17
67.025 7
67.035 12
67.045 26
67.055 18
67.065 19
67.075 17
67.085 22
67.095 15
67.105 7
67.115 20
67.125 11
67.135 16
67.145 11
67.155 14
67.165 23
67.175 11
67.185 12
67.195 9
67.205 8
67.215 19
67.225 11
67.235 16
67.245 17
67.255 15
67.265 14
67.275 15
67.285 16
67.295 16
67.305 22
67.315 19
67.325 10
67.335 17
67.345 16
67.355 11
67.365 8
67.375 10
67.385 10
67.395 8
67.405 9
